Menu Item,Item Type,Item Temp,Wheat,Gluten,Milk,Egg,Soy,Peanuts,Tree Nuts,Fish,Shellfish,Sesame,Mustard,Sulphites,Food chain,Barley,Oat,Rye,Triticale
Ranch Chicken Snack Wrap with Grilled Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
Sweet Chili Signature McWrap with Crispy Chicken,,Hot,X,,,X,,,,,,,X,,McD,,,,
Sweet Chili Signature McWrap with Grilled Chicken,,Hot,X,,X,X,,,,,,,X,,McD,,,,
Thai Sweet Chili Chicken sandwich,,Hot,X,,o,X,,,,,,X,X,,McD,X,,,
Asian Cashew Salad with Crispy Chicken,,Hot,o,,o,,o,,X,,,X,,o,McD,,,,
Asian Cashew Salad with Grilled Chicken,,Hot,o,,o,,o,,o,,,o,,o,McD,,,,
Caesar Bacon Salad with Crispy Chicken,,Hot,X,,X,,X,,,,,,,,McD,,,,
Caesar Bacon Salad with Grilled Chicken,,Hot,X,,X,,X,,,,,,,,McD,,,,
Caesar Side Salad,,Hot,X,,X,,X,,,,,,,,McD,,,,
Garden Fresh Side Salad,,Hot,,,X,,,,,,,,,,McD,,,,
Greek Feta Salad with Crispy Chicken,,Hot,X,,X,,,,,,,,,X,McD,,,,
Greek Feta Salad with Grilled Chicken,,Hot,X,,X,,,,,,,,,X,McD,,,,
"1% Partly Skimmed Milk
- 250 ml",,Hot,,,X,,,,,,,,,,McD,,,,
4 Chicken McNuggets,,Hot,X,,,,,,,,,,,,McD,,,,
Apple Slices,,Hot,,,,,,,,,,,,,McD,,,,
Cheeseburger,,Hot,X,,X,,X,,,,,o,X,,McD,X,,,
Dasani Water,,Hot,,,,,,,,,,,,,McD,,,,
Hamburger,,Hot,X,,,,,,,,,o,X,,McD,X,,,
Hotcakes,,Hot,X,,X,X,X,,,,,,,,McD,,,,
"Minute Maid Apple Juice
- Small",,Hot,,,,,,,,,,,,,McD,,,,
Minute Maid Orange Juice - Small,,Hot,,,,,,,,,,,,,McD,,,,
Ranch Chicken Snack Wrap with Crispy Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
Ranch Chicken Snack Wrap with Grilled Chicken,,Hot,X,,X,X,,,,,,,,,McD,,,,
Strawberry Yogurt Tube,,Hot,,,X,,,,,,,,,,McD,,,,
World Famous Fries - Mini,,Hot,,,,,,,,,,,,,McD,,,,
World Famous Fries - Small,,Hot,,,,,,,,,,,,,McD,,,,
